Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
aloe-barbadensis-leaf-extract,Aloe Barbadensis Leaf Extract,Aloe Leaf Extract,"soothing, emollient, moisturizer/humectant","Ekstrak Daun Aloe Barbadensis, yang lebih dikenal sebagai ekstrak lidah buaya, adalah bahan alami populer yang kaya akan polisakarida, vitamin, dan mineral. Dalam perawatan kulit, bahan ini sangat dihargai karena sifat penenang (soothing) dan kemampuannya untuk memberikan hidrasi mendalam tanpa rasa lengket. Ekstrak ini bekerja efektif untuk meredakan iritasi, kemerahan, dan peradangan, serta membantu mempercepat proses penyembuhan luka ringan atau kulit yang terbakar sinar matahari. Selain sebagai pelembap (humektan) yang menjaga elastisitas kulit, lidah buaya juga memiliki sifat antioksidan yang melindungi kulit dari kerusakan lingkungan dan memberikan efek segar serta bercahaya pada wajah.",Normal
aloe-barbadensis-leaf-juice,Aloe Barbadensis Leaf Juice,Aloe Vera,"soothing, moisturizer/humectant","Aloe Barbadensis Leaf Juice, yang lebih dikenal sebagai lidah buaya, adalah bahan alami yang diekstrak dari bagian dalam daun tanaman Aloe vera. Dalam perawatan kulit, bahan ini sangat dihargai karena kemampuannya yang luar biasa untuk menenangkan iritasi, meredakan kemerahan, dan memberikan hidrasi mendalam tanpa rasa lengket. Kaya akan vitamin, mineral, asam amino, dan polisakarida, ekstrak ini bekerja dengan cara membentuk lapisan pelindung di atas kulit untuk mengunci kelembapan sekaligus mempercepat proses regenerasi sel dan penyembuhan luka ringan. Sifat anti-inflamasinya menjadikannya bahan ideal untuk kulit sensitif, terbakar matahari, atau kering, serta membantu menjaga elastisitas kulit agar tetap kenyal dan sehat.",Normal
aloe-barbadensis-leaf-juice-powder,Aloe Barbadensis Leaf Juice Powder,,"soothing, moisturizer/humectant","Aloe Barbadensis Leaf Juice Powder adalah bentuk konsentrat dari sari lidah buaya yang dikeringkan menjadi bubuk halus. Bahan alami ini kaya akan polisakarida, vitamin, mineral, dan asam amino yang berfungsi sebagai pelembap (humektan) dan penenang (soothing) yang sangat efektif untuk semua jenis kulit, terutama kulit kering dan sensitif. Selain memberikan hidrasi intens yang membantu menjaga elastisitas kulit, bubuk ini juga memiliki sifat anti-inflamasi yang mampu meredakan iritasi, kemerahan, dan membantu proses regenerasi sel kulit yang rusak. Dalam formulasi kosmetik, bahan ini sering digunakan karena kemampuannya yang serbaguna untuk memberikan efek menyegarkan tanpa rasa lengket atau berminyak.",Normal
alpaflor-r-edelweiss-ep,Alpaflor® Edelweiss Ep,,,"Alpaflor® Edelweiss EP adalah ekstrak alami dari tanaman Edelweiss (Leontopodium alpinum 'Helvetia') yang dibudidayakan secara organik di Pegunungan Alpen Swiss. Bahan ini kaya akan asam leontopodik yang dikenal sebagai antioksidan kuat untuk menangkal radikal bebas dan melindungi DNA kulit dari kerusakan akibat radiasi UV serta polusi. Selain sifat pelindungnya, ekstrak ini berfungsi memperkuat sawar kulit (skin barrier) dengan menstimulasi protein kunci seperti involucrin dan keratin, sehingga membantu menjaga hidrasi, menenangkan kulit sensitif, serta memberikan efek anti-penuaan yang signifikan.",Normal
alpha-arbutin,Alpha-Arbutin,,"antioxidant, skin brightening","Alpha-Arbutin adalah bahan pencerah kulit (skin-brightening) yang sangat efektif dan stabil, yang bekerja dengan menghambat aktivitas enzim tyrosinase untuk menekan produksi melanin. Berasal dari tanaman bearberry atau melalui proses bioteknologi, bahan ini mampu menyamarkan noda hitam (hiperpigmentasi), bekas jerawat, dan meratakan warna kulit tanpa menyebabkan iritasi parah seperti hidroquinon. Selain kemampuannya dalam mencerahkan, Alpha-Arbutin juga memiliki sifat antioksidan yang membantu melindungi kulit dari radikal bebas dan kerusakan akibat paparan sinar UV. Karena sifatnya yang lembut, bahan ini cocok untuk berbagai jenis kulit dan sering ditemukan dalam serum atau pelembap dengan konsentrasi yang disarankan antara 0,2% hingga 2%.",Normal
alpha-glucan-oligosaccharide,Alpha-Glucan Oligosaccharide,,,"Alpha-Glucan Oligosaccharide adalah molekul gula prebiotik yang diperoleh melalui sintesis enzimatik dari gula alami seperti sukrosa dan maltosa. Bahan ini berfungsi sebagai substrat bio-selektif yang menutrisi dan merangsang pertumbuhan mikroflora baik pada kulit, sekaligus menghambat pertumbuhan bakteri berbahaya seperti penyebab jerawat. Dengan menjaga keseimbangan mikrobioma, bahan ini membantu memperkuat pertahanan alami kulit, menenangkan iritasi, serta meningkatkan fungsi sawar kulit (skin barrier) untuk menjaga hidrasi dan kelembutan. Karena sifatnya yang lembut dan tidak menyebabkan iritasi, Alpha-Glucan Oligosaccharide sangat cocok digunakan dalam berbagai produk perawatan untuk semua jenis kulit, termasuk kulit sensitif dan berjerawat.",Normal
alpha-isomethyl-ionone,Alpha-Isomethyl Ionone,,perfuming,"Alpha-Isomethyl Ionone adalah bahan wewangian sintetis yang populer digunakan dalam produk perawatan kulit dan kosmetik untuk memberikan aroma bunga yang lembut, mirip dengan bunga violet dan akar orris. Selain memberikan keharuman yang khas, bahan ini juga berfungsi untuk menutupi bau tidak sedap dari bahan baku lain dalam formula produk. Karena sifat aromatiknya yang tahan lama, bahan ini sering ditemukan dalam berbagai produk seperti parfum, pelembap, sampo, dan sabun mandi. Meskipun dianggap aman untuk penggunaan kosmetik, Alpha-Isomethyl Ionone termasuk dalam daftar alergen yang potensial, sehingga pengguna dengan kulit sangat sensitif disarankan untuk memperhatikan keberadaannya dalam daftar komposisi produk.",Normal
alteromonas-ferment-extract,Alteromonas Ferment Extract,,soothing,"Alteromonas Ferment Extract adalah bahan alami yang berasal dari fermentasi bakteri laut dalam yang hidup di lingkungan ekstrem. Kaya akan polisakarida, bahan ini memiliki kemampuan luar biasa untuk mengikat air, sehingga memberikan hidrasi yang intens dan menjaga kekenyalan kulit. Selain sebagai pelembap, ekstrak ini dikenal karena sifat anti-inflamasinya yang kuat, yang mampu menenangkan kemerahan, mengurangi sensitivitas, dan melindungi kulit dari iritasi akibat faktor lingkungan seperti sinar UV dan polusi. Bahan ini sangat ideal untuk pemilik kulit sensitif atau kulit yang reaktif karena kemampuannya dalam memperkuat sawar kulit (skin barrier) dan mempercepat proses pemulihan kulit.",Normal
alteromonas-ferment-filtrate,Alteromonas Ferment Filtrate,,moisturizer/humectant,"Alteromonas Ferment Filtrate adalah bahan pelembap alami yang diperoleh melalui proses fermentasi bakteri laut dalam, Alteromonas macleodii. Kaya akan polisakarida, bahan ini memiliki kemampuan pengikat air yang luar biasa untuk menghidrasi, mengenyalkan, dan memperbaiki tekstur kulit. Selain sebagai humektan, filtrat ini juga berfungsi untuk menenangkan kulit sensitif, memperkuat sawar kulit (skin barrier), dan memberikan perlindungan terhadap stres lingkungan serta polusi.",Normal
alumina,Alumina,"Aluminum Oxide, Al2O3","viscosity controlling, abrasive/scrub, absorbent/mattifier","Alumina, yang juga dikenal sebagai aluminium oksida, adalah mineral alami yang berfungsi multifungsi sebagai pengental, penyerap (absorbent), dan agen abrasif dalam produk perawatan kulit. Bahan ini sering digunakan dalam eksfolian fisik untuk mengangkat sel kulit mati secara lembut, serta dalam produk kosmetik untuk menyerap minyak berlebih dan memberikan efek mattifying pada wajah. Selain itu, alumina berperan penting sebagai pelapis bagi filter UV mineral seperti titanium dioksida guna memastikan penyebaran yang merata dan meningkatkan tekstur produk saat diaplikasikan.",Berminyak
aluminum-hydroxide,Aluminum Hydroxide,,"emollient, moisturizer/humectant, viscosity controlling","Aluminum Hydroxide adalah mineral alami yang berfungsi sebagai emolien, pelembap, dan pengatur kekentalan dalam produk kosmetik. Bahan ini sering digunakan sebagai lapisan pelindung untuk filter UV seperti Titanium Dioxide guna menetralkan radikal bebas, serta membantu menenangkan kulit yang teriritasi. Selain memberikan tekstur produk yang halus dan merata, bahan ini juga berperan sebagai agen opasitas dan penstabil pigmen pada produk riasan wajah.",Normal
aluminum-starch-octenylsuccinate,Aluminum Starch Octenylsuccinate,,"viscosity controlling, absorbent/mattifier","Aluminum Starch Octenylsuccinate adalah garam aluminium dari hasil reaksi antara pati (starch) dengan octenylsuccinic anhydride yang berfungsi sebagai peningkat tekstur dan agen penyerap minyak dalam kosmetik. Bahan ini sangat efektif untuk mengurangi rasa lengket atau berminyak yang disebabkan oleh bahan oklusif dalam krim dan losion, sehingga memberikan hasil akhir yang halus, kering, dan matte pada kulit. Selain itu, bahan ini sering digunakan sebagai alternatif bedak talek (talc) dan dapat membantu meningkatkan nilai SPF dalam produk tabir surya dengan meningkatkan kerataan aplikasi pada kulit. Karena kemampuannya dalam menyerap kelebihan sebum, bahan ini populer digunakan dalam produk seperti bedak wajah, alas bedak (foundation), hingga sampo kering.",Berminyak
amaranthus-caudatus-seed-extract,Amaranthus Caudatus Seed Extract,Amaranth Seed Extract,emollient,"Amaranthus Caudatus Seed Extract, yang juga dikenal sebagai ekstrak biji amaranth atau Velvet Flower, adalah bahan alami dari tanaman kuno yang kaya akan nutrisi. Dalam perawatan kulit, ekstrak ini berfungsi sebagai emolien dan pelembap yang efektif karena kandungan asam lemak tak jenuh dan squalane alaminya yang membantu menjaga elastisitas serta memperkuat sawar kulit (skin barrier). Selain manfaat hidrasi, bahan ini juga populer dalam perawatan rambut karena mengandung peptida kecil yang mampu menembus serat rambut untuk meningkatkan diameter helai rambut, menambah volume, dan memberikan kilau tanpa rasa berat. Berkat sifat anti-inflamasi dan antioksidannya, ekstrak ini sangat cocok digunakan untuk menenangkan kulit sensitif dan memberikan perlindungan terhadap stres lingkungan.",Normal
aminomethyl-propanol,Aminomethyl Propanol,,buffering,"Aminomethyl Propanol adalah bahan sintetis yang berfungsi sebagai pengatur keasaman (pH adjuster) atau agen buffering untuk menjaga stabilitas formula produk perawatan kulit dan rambut. Bahan ini membantu menetralkan bahan lain yang bersifat asam, meningkatkan efektivitas pengawet, serta membantu bahan aktif lain meresap lebih baik ke dalam kulit. Selain itu, Aminomethyl Propanol juga digunakan untuk mengurangi rasa lengket pada produk akhir dan sering ditemukan dalam berbagai jenis kosmetik, mulai dari serum hingga produk penataan rambut.",Normal
aminopropyl-ascorbyl-phosphate,Aminopropyl Ascorbyl Phosphate,Form of Vitamin C,"antioxidant, skin brightening","Aminopropyl Ascorbyl Phosphate, yang sering dikenal dengan nama dagang Vitagen, adalah turunan vitamin C yang sangat stabil dan larut dalam air. Dibuat dengan menggabungkan asam askorbat murni dengan molekul 3-APPA, bahan ini dirancang untuk mengatasi masalah ketidakstabilan yang umum terjadi pada vitamin C murni tanpa mengurangi efektivitasnya. Berfungsi sebagai antioksidan kuat, bahan ini bekerja dengan menetralisir radikal bebas, mendorong biosintesis kolagen untuk mengurangi garis halus, serta menghambat produksi melanin guna mencerahkan noda hitam dan meratakan warna kulit. Keunggulan utamanya terletak pada sifatnya yang lembut dan tidak menyebabkan iritasi, sehingga menjadi pilihan ideal bagi pemilik kulit sensitif yang ingin mendapatkan manfaat anti-penuaan dan pencerah dari vitamin C.",Normal
ammonium-acryloyldimethyltaurate-vp-copolymer,Ammonium Acryloyldimethyltaurate/​VP Copolymer,Aristoflex AVC,viscosity controlling,"Ammonium Acryloyldimethyltaurate/VP Copolymer, yang dikenal dengan nama dagang Aristoflex AVC, adalah polimer sintetik yang berfungsi sebagai pengental, agen pembentuk gel, dan penstabil emulsi dalam produk kosmetik. Bahan ini sangat populer karena kemampuannya menciptakan tekstur gel yang ringan, segar, dan tidak lengket, serta memberikan sensasi halus dan lembut pada kulit setelah aplikasi. Selain memperbaiki viskositas produk, bahan ini juga mampu menstabilkan fase minyak dalam formula tanpa memerlukan tambahan pengemulsi tradisional, sehingga sering digunakan dalam serum, pelembap ringan, dan tabir surya.",Semua Jenis Kulit
ammonium-glycolate,Ammonium Glycolate,,buffering,"Ammonium Glycolate adalah garam amonium dari asam glikolat yang berfungsi utama sebagai pengatur keasaman (buffering agent) dalam produk kosmetik. Sebagai salah satu bentuk Alpha Hydroxy Acid (AHA), bahan ini memiliki kemampuan untuk mengeksfoliasi sel kulit mati secara lembut, membantu memperbaiki tekstur kulit, dan mencerahkan bintik hitam tanpa menyebabkan iritasi sebesar asam glikolat murni. Selain sifat eksfoliasinya, bahan ini juga memiliki kemampuan melembapkan dan sering digunakan untuk menjaga stabilitas pH formula agar tetap aman dan efektif saat diaplikasikan ke kulit.",Normal
ammonium-lauryl-sulfate,Ammonium Lauryl Sulfate,,surfactant/cleansing,"Ammonium Lauryl Sulfate adalah surfaktan anionik yang sangat efektif dan umum digunakan sebagai agen pembersih serta pembentuk busa dalam produk perawatan diri seperti sampo dan sabun cair. Bahan ini bekerja dengan cara menurunkan tegangan permukaan air, sehingga mampu melarutkan minyak, kotoran, dan sisa produk agar lebih mudah dibilas. Meskipun merupakan pembersih yang kuat yang memberikan busa melimpah, bahan ini dianggap lebih lembut dan memiliki molekul yang lebih besar dibandingkan Sodium Lauryl Sulfate (SLS), sehingga tidak mudah meresap ke dalam kulit. Namun, dalam konsentrasi tinggi, bahan ini tetap berpotensi menyebabkan iritasi atau kekeringan pada pemilik kulit dan kulit kepala yang sangat sensitif.",Berminyak
ammonium-polyacryloyldimethyl-taurate,Ammonium Polyacryloyldimethyl Taurate,,"viscosity controlling, emulsion stabilising","Ammonium Polyacryloyldimethyl Taurate adalah polimer sintetis yang berfungsi sebagai pengental, penstabil emulsi, dan agen pembentuk lapisan (film-former) dalam produk perawatan kulit. Bahan ini sangat efektif untuk menciptakan tekstur gel-krim yang ringan, halus, dan tidak lengket, serta memberikan sensasi dingin dan menyegarkan saat diaplikasikan. Karena kemampuannya menstabilkan formula dengan kandungan minyak tinggi tanpa memerlukan pengemulsi tambahan, bahan ini sering digunakan dalam pelembap, tabir surya, dan produk perawatan rambut untuk menjaga konsistensi produk tetap stabil dan nyaman digunakan.",Normal
ammonium-xylenesulfonate,Ammonium Xylenesulfonate,,"surfactant/cleansing, viscosity controlling","Ammonium Xylenesulfonate adalah bahan kimia multifungsi yang berfungsi sebagai surfaktan, agen pembersih, dan pengontrol viskositas dalam produk perawatan pribadi. Bahan ini diklasifikasikan sebagai hidrotrop, yaitu senyawa yang membantu meningkatkan kelarutan bahan lain yang sulit larut dalam air, sehingga menjaga kejernihan dan stabilitas formula produk. Sering ditemukan dalam sampo dan sabun cair, bahan ini membantu menciptakan tekstur yang tepat dan meningkatkan efektivitas pembersihan tanpa memberikan rasa lengket.",Normal
amodimethicone,Amodimethicone,,emollient,"Amodimethicone adalah jenis silikon termodifikasi yang sangat populer dalam produk perawatan rambut dan kulit karena sifat pengkondisiannya yang unggul. Berbeda dengan silikon biasa, bahan ini memiliki muatan positif (kationik) yang memungkinkannya menempel secara selektif pada area rambut yang rusak atau bermuatan negatif, sehingga memberikan perbaikan yang tertarget. Fungsi utamanya adalah sebagai emolien yang membentuk lapisan pelindung tipis untuk mengunci kelembapan, mengurangi kusut, meningkatkan kilau, dan memberikan kelembutan luar biasa tanpa menyebabkan penumpukan (build-up) yang berat. Selain itu, amodimethicone juga efektif memberikan perlindungan panas dari alat penata rambut dan membantu mempertahankan warna pada rambut yang diwarnai.",Normal
