Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Ocimum Basilicum (Basil) Flower/Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan memiliki aktivitas antimikroba alami.,-,-,Berjerawat,Membantu mengurangi inflamasi dan melindungi kulit dari radikal bebas.,-,-,Berjerawat: Supportive,-,,
Pearl Powder,"Normal, Berminyak, Kering, Kombinasi",Mengandung mineral dan asam amino yang membantu menjaga kesehatan kulit.,-,-,Kusam,Membantu memberikan efek brightening ringan dan meningkatkan tampilan kulit.,-,-,Kusam: Supportive,-,,
Lawsonia Inermis (Henna) Flower/Fruit/Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa antioksidan dan anti-inflamasi alami.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan melindungi kulit dari stres oksidatif.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Ocimum Sanctum Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan memiliki aktivitas antimikroba serta anti-inflamasi.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan mendukung kesehatan kulit acne-prone.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Glycereth-26,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menarik dan mempertahankan kelembapan kulit dengan toleransi yang baik.,-,-,Kusam,Membantu meningkatkan hidrasi sehingga kulit terasa lebih lembut dan kenyal.,-,-,Kusam: Supportive,-,,
Glyceryl Glucoside,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu meningkatkan distribusi air di dalam kulit dan mendukung fungsi skin barrier.,-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memperkuat skin barrier, dan menjaga kesehatan kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Nymphaea Caerulea Flower Water,"Normal, Berminyak, Kering, Kombinasi",Flower water yang kaya antioksidan dan memberikan efek soothing pada kulit.,-,-,"Kemerahan, Kusam",Membantu menenangkan kulit dan melindungi dari stres oksidatif.,-,-,Kemerahan: Supportive; Kusam: Supportive,-,,
Portulaca Oleracea Flower/Leaf/Stem Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung flavonoid dan polisakarida yang membantu menenangkan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Memiliki efek anti-inflamasi dan membantu memperbaiki skin barrier.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Paeonia Suffruticosa Root Bark Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan memiliki aktivitas anti-inflamasi.,-,-,"PIH, Kusam, Kemerahan","Membantu mencerahkan kulit, mengurangi inflamasi, dan melindungi dari radikal bebas.",-,-,PIH: Supportive; Kusam: Supportive; Kemerahan: Supportive,-,,
Paeonia Lactiflora Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa antioksidan yang membantu menjaga kesehatan kulit.,-,-,"PIH, Kusam",Membantu mengurangi hiperpigmentasi dan melindungi kulit dari stres oksidatif.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Stephania Tetrandra Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung alkaloid yang memiliki aktivitas anti-inflamasi dan antioksidan.,-,-,"Kemerahan, Berjerawat",Membantu mengurangi inflamasi dan menenangkan kulit.,-,-,Kemerahan: Supportive; Berjerawat: Supportive,-,,
Mannitol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan antioksidan yang membantu mempertahankan kelembapan kulit.,-,-,Kusam,Membantu meningkatkan hidrasi dan melindungi kulit dari stres oksidatif.,-,-,Kusam: Supportive,-,,
Artemisia Argyi Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak mugwort yang kaya antioksidan dan memiliki efek soothing.,-,-,"Berjerawat, Kemerahan, PIE",Membantu mengurangi inflamasi dan mendukung pemulihan skin barrier.,-,-,Berjerawat: Supportive; Kemerahan: Supportive; PIE: Supportive,-,,
Hexylene Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit pada konsentrasi kosmetik.,-,-,Kusam,Membantu menjaga hidrasi dan meningkatkan kenyamanan kulit.,-,-,Kusam: Supportive,-,,
Hexapeptide-9,"Normal, Berminyak, Kering, Kombinasi",Peptida biomimetik yang membantu mendukung sintesis kolagen dan regenerasi kulit.,-,-,Aging,Membantu meningkatkan elastisitas kulit dan mengurangi tanda-tanda penuaan.,-,-,Aging: Supportive,-,,
Caprylic/Capric Glycerides Polyglyceryl-10 Esters,"Normal, Berminyak, Kering, Kombinasi",Emollient yang membantu menjaga kelembapan kulit dan memperbaiki skin barrier dengan tekstur ringan.,-,-,Kusam,Membantu mengurangi kehilangan air (TEWL) serta membuat kulit terasa lebih lembut.,-,-,Kusam: Supportive,-,,
Prunus Persica (Peach) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya vitamin, polifenol, dan antioksidan yang membantu melindungi kulit dari radikal bebas.",-,-,Kusam,Membantu menjaga kesehatan kulit dan memberikan perlindungan antioksidan.,-,-,Kusam: Supportive,-,,
Retinyl Propionate,"Normal, Berminyak, Kombinasi",Turunan vitamin A yang lebih lembut dibanding retinol namun tetap mendukung regenerasi kulit.,Kering,Dapat meningkatkan kekeringan dan sensitivitas pada kulit dengan skin barrier yang lemah.,"Berjerawat, PIH, Aging","Membantu mempercepat regenerasi sel kulit, meningkatkan sintesis kolagen, dan membantu memudarkan hiperpigmentasi.",Kemerahan,Dapat meningkatkan iritasi pada kulit sensitif atau yang sedang mengalami inflamasi.,Berjerawat: Supportive; PIH: Supportive; Aging: Supportive,Kemerahan: Low,Kering: Low,"Ester vitamin A, lebih ringan dari retinol; evidence iritasi minimal."
Hydroxyphenyl Propamidobenzoic Acid,"Normal, Berminyak, Kering, Kombinasi",Senyawa analog avenanthramide yang memiliki efek anti-inflamasi dan soothing pada kulit.,-,-,"Kemerahan, PIE, Berjerawat","Membantu mengurangi rasa gatal, kemerahan, dan inflamasi serta mendukung pemulihan skin barrier.",-,-,Kemerahan: Supportive; PIE: Supportive; Berjerawat: Supportive,-,,
T-Butyl Alcohol,-,-,"Normal, Berminyak, Kering, Kombinasi","Simple alcohol yang dapat menyebabkan kekeringan atau iritasi pada sebagian individu, terutama pada konsentrasi tinggi.",-,-,"Kemerahan, PIE, PIH","Berpotensi memperburuk iritasi dan inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Solven/stabilizer dengan laporan potensi iritan; risiko generalis, bukan spesifik jenis kulit."
Hydroxyethyl Urea,"Normal, Berminyak, Kering, Kombinasi",Humectant yang sangat efektif dalam meningkatkan dan mempertahankan kelembapan kulit tanpa rasa lengket.,-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memperkuat skin barrier, dan mengurangi kekeringan kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Inositol,"Normal, Berminyak, Kering, Kombinasi",Molekul mirip vitamin yang membantu menjaga keseimbangan hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu mempertahankan kelembapan kulit dan melindungi sel dari stres lingkungan.,-,-,Kemerahan: Supportive,-,,
Lactobacillus/Collagen Ferment Filtrate,"Normal, Berminyak, Kering, Kombinasi",Ferment yang menggabungkan manfaat probiotik dan kolagen untuk mendukung skin barrier serta hidrasi kulit.,-,-,Kemerahan,"Membantu memperkuat skin barrier, meningkatkan hidrasi, dan memberikan efek soothing.",-,-,Kemerahan: Supportive,-,,
Sodium Polygamma-Glutamate,"Normal, Berminyak, Kering, Kombinasi",Humectant dengan kemampuan mengikat air sangat tinggi sehingga membantu menjaga kelembapan kulit lebih lama.,-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memperbaiki skin barrier, dan menjaga elastisitas kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Maris Aqua (Sea Water),"Normal, Berminyak, Kering, Kombinasi",Mengandung mineral alami yang membantu menjaga hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu menenangkan kulit dan mendukung kesehatan skin barrier melalui kandungan mineral alami.,-,-,Kemerahan: Supportive,-,,
Coenzyme Q10,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang melindungi kulit dari kerusakan akibat radikal bebas dan membantu produksi energi sel.,-,-,"Aging, Kusam",Membantu mengurangi stres oksidatif dan mendukung elastisitas kulit.,-,-,Aging: Supportive; Kusam: Supportive,-,,
Lactobacillus/Soymilk Ferment Filtrate,"Normal, Berminyak, Kering, Kombinasi","Ferment probiotik yang membantu memperkuat skin barrier, menjaga mikrobioma kulit, dan meningkatkan hidrasi.",-,-,Kemerahan,"Membantu memperbaiki skin barrier, memberikan efek soothing, dan meningkatkan ketahanan kulit.",-,-,Kemerahan: Supportive,-,,
Hamamelis Virginiana (Witch Hazel) Extract,"Berminyak, Kombinasi",Membantu mengurangi produksi sebum dan memberikan efek astringen ringan.,Kering,Efek astringennya dapat memperburuk kekeringan pada kulit yang sudah kering.,Berjerawat,Membantu mengurangi minyak berlebih dan inflamasi ringan pada kulit acne-prone.,Kemerahan,"Pada sebagian individu, kandungan tanin dapat menyebabkan iritasi atau memperburuk kemerahan pada kulit sensitif.",Berjerawat: Supportive,Kemerahan: Moderate,Kering: Moderate,Sama seperti Witch Hazel Leaf Extract: efek astringent tanin yang terdokumentasi.
Acetyl Glutamine,"Normal, Berminyak, Kering, Kombinasi",Turunan asam amino yang membantu menjaga hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu meningkatkan hidrasi dan memperbaiki kondisi skin barrier.,-,-,Kemerahan: Supportive,-,,
Bacillus/Soybean/Folic Acid Ferment Extract,"Normal, Berminyak, Kering, Kombinasi","Ferment yang kaya peptida, asam amino, dan metabolit bioaktif untuk mendukung skin barrier dan hidrasi kulit.",-,-,Kemerahan,"Membantu memperkuat skin barrier, meningkatkan hidrasi, dan memberikan efek antioksidan.",-,-,Kemerahan: Supportive,-,,
SH-Oligopeptide-1,"Normal, Berminyak, Kering, Kombinasi",Recombinant growth factor (EGF) yang membantu regenerasi dan perbaikan kulit.,-,-,Aging,Membantu merangsang regenerasi sel dan meningkatkan elastisitas kulit.,-,-,Aging: Supportive,-,,
SH-Oligopeptide-2,"Normal, Berminyak, Kering, Kombinasi",Growth factor rekombinan yang membantu mempercepat regenerasi jaringan kulit.,-,-,Aging,Membantu memperbaiki struktur kulit dan mengurangi tanda-tanda penuaan.,-,-,Aging: Supportive,-,,
SH-Polypeptide-1,"Normal, Berminyak, Kering, Kombinasi",Growth factor rekombinan yang membantu regenerasi kulit dan sintesis kolagen.,-,-,Aging,Membantu meningkatkan elastisitas dan regenerasi kulit.,-,-,Aging: Supportive,-,,
SH-Polypeptide-11,"Normal, Berminyak, Kering, Kombinasi",Peptida rekombinan yang membantu meningkatkan regenerasi dan kualitas kulit.,-,-,Aging,Membantu memperbaiki elastisitas kulit dan mengurangi tanda penuaan.,-,-,Aging: Supportive,-,,
SH-Polypeptide-9,"Normal, Berminyak, Kering, Kombinasi",Peptida rekombinan yang membantu mendukung regenerasi sel kulit.,-,-,Aging,Membantu meningkatkan perbaikan jaringan kulit dan menjaga elastisitas.,-,-,Aging: Supportive,-,,
Emiliania Huxleyi Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak mikroalga laut yang kaya antioksidan dan membantu melindungi kulit dari stres lingkungan.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan mendukung kesehatan skin barrier.,-,-,Kusam: Supportive,-,,
Snail Secretion Filtrate,"Normal, Berminyak, Kering, Kombinasi","Mengandung glycoprotein, hyaluronic acid alami, peptida, dan allantoin yang membantu menjaga kelembapan serta memperbaiki skin barrier.",-,-,"Berjerawat, PIE, PIH, Kemerahan","Membantu mempercepat regenerasi kulit, meningkatkan hidrasi, mendukung penyembuhan bekas jerawat, serta memperbaiki elastisitas kulit.",-,-,Berjerawat: Supportive; PIE: Supportive; PIH: Supportive; Kemerahan: Supportive,-,,
Theobroma Cacao (Cocoa) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan polifenol yang memberikan perlindungan antioksidan pada kulit.,-,-,Kusam,Membantu melindungi kulit dari stres oksidatif dan menjaga kesehatan kulit.,-,-,Kusam: Supportive,-,,
Tricholoma Matsutake Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak jamur yang kaya antioksidan dan senyawa bioaktif untuk melindungi kulit.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan menjaga vitalitas kulit.,-,-,Kusam: Supportive,-,,
Rhododendron Chrysanthum Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa antioksidan dan anti-inflamasi yang membantu menenangkan kulit.,-,-,Kemerahan,Membantu mengurangi inflamasi dan melindungi kulit dari stres oksidatif.,-,-,Kemerahan: Supportive,-,,
Hydrolyzed Cicer Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Protein kacang chickpea terhidrolisis yang membantu meningkatkan hidrasi dan elastisitas kulit.,-,-,-,-,-,-,-,-,,
Phellinus Linteus Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak jamur yang kaya polisakarida dan antioksidan.,-,-,Kemerahan,Membantu mengurangi stres oksidatif dan memberikan efek anti-inflamasi.,-,-,Kemerahan: Supportive,-,,
Cornus Officinalis Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu menjaga kesehatan kulit dan mendukung perlindungan antioksidan.,-,-,Kusam: Supportive,-,,
Akebia Quinata Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya senyawa antioksidan dan memiliki aktivitas anti-inflamasi ringan.,-,-,Kemerahan,Membantu menenangkan kulit dan melindungi dari stres oksidatif.,-,-,Kemerahan: Supportive,-,,
Mirabilis Jalapa Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak bunga Mirabilis jalapa yang memiliki aktivitas antioksidan dan anti-inflamasi sehingga membantu menjaga kesehatan kulit.,-,-,Kemerahan,"Membantu menenangkan kulit, mengurangi inflamasi ringan, serta melindungi kulit dari stres oksidatif.",-,-,Kemerahan: Supportive,-,,
Phenylethyl Resorcinol,"Normal, Berminyak, Kering, Kombinasi",Bahan aktif pencerah yang memiliki aktivitas antioksidan dan umumnya ditoleransi dengan baik pada berbagai jenis kulit.,-,-,"PIH, Kusam",Menghambat enzim tirosinase sehingga membantu mengurangi hiperpigmentasi dan membuat kulit tampak lebih cerah.,Kemerahan,"Pada sebagian individu dapat menimbulkan iritasi ringan, terutama pada konsentrasi tinggi atau kulit sensitif.",PIH: Primary; Kusam: Primary,Kemerahan: Low,,
Sclareolide,"Normal, Berminyak, Kering, Kombinasi",Senyawa turunan alami dari Salvia sclarea yang berfungsi sebagai skin conditioning agent dan memiliki aktivitas antioksidan ringan.,-,-,-,-,-,-,-,-,,
Glycereth-20,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menarik dan mempertahankan kelembapan kulit sehingga kulit tetap terhidrasi.,-,-,Kusam,Membantu meningkatkan hidrasi kulit dan membuat kulit terasa lebih lembut.,-,-,Kusam: Supportive,-,,
Isodecyl Neopentanoate,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang memberikan kelembutan tanpa rasa berminyak dan membantu mengurangi kehilangan air dari kulit.,-,-,Kusam,Membantu menjaga kelembapan dan memperbaiki tekstur kulit.,-,-,Kusam: Supportive,-,,
Hexyldecanol,"Normal, Berminyak, Kering, Kombinasi",Fatty alcohol yang berfungsi sebagai emollient sehingga membantu menjaga kelembapan kulit.,-,-,-,-,-,-,-,-,,
Ethyl Linoleate,"Normal, Berminyak, Kombinasi",Ester dari linoleic acid yang membantu menyeimbangkan komposisi sebum dan memperbaiki skin barrier.,-,-,"Berjerawat, PIH",Membantu mengurangi pembentukan mikrokomedo serta mendukung pemulihan bekas jerawat.,-,-,Berjerawat: Supportive; PIH: Supportive,-,,
Naringenin,"Normal, Berminyak, Kering, Kombinasi",Flavonoid antioksidan dengan aktivitas anti-inflamasi yang baik untuk berbagai jenis kulit.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan melindungi kulit dari radikal bebas.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Cyanocobalamin,"Normal, Berminyak, Kering, Kombinasi",Vitamin B12 yang berfungsi sebagai skin conditioning agent dan membantu menjaga kesehatan kulit.,-,-,-,-,-,-,-,-,,
Panthenyl Triacetate,"Normal, Berminyak, Kering, Kombinasi",Turunan panthenol yang membantu menjaga hidrasi dan memperkuat skin barrier.,-,-,Kemerahan,Membantu meningkatkan kelembapan dan memberikan efek soothing.,-,-,Kemerahan: Supportive,-,,
Cetylhydroxyproline Palmitamide,"Normal, Berminyak, Kering, Kombinasi",Pseudo-ceramide yang membantu memperbaiki skin barrier dan mempertahankan kelembapan kulit.,-,-,"Kemerahan, PIE",Membantu memperkuat skin barrier dan mengurangi kehilangan air dari kulit.,-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Brassica Campestris Sterols,"Normal, Berminyak, Kering, Kombinasi",Sterol nabati yang membantu memperbaiki skin barrier dan menjaga elastisitas kulit.,-,-,Kemerahan,Membantu memperkuat skin barrier dan meningkatkan kelembapan kulit.,-,-,Kemerahan: Supportive,-,,
Sphingolipids,"Normal, Berminyak, Kering, Kombinasi",Lipid penting penyusun skin barrier yang membantu mempertahankan kelembapan kulit.,-,-,"Kemerahan, PIE",Membantu memperbaiki skin barrier dan mengurangi kehilangan air.,-,-,Kemerahan: Supportive; PIE: Supportive,-,,
Epigallocatechin Gallatyl Glucoside,"Normal, Berminyak, Kering, Kombinasi",Turunan EGCG yang stabil dengan aktivitas antioksidan dan anti-inflamasi.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Gallyl Glucoside,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang juga diketahui membantu menghambat pembentukan melanin.,-,-,"PIH, Kusam",Membantu mencerahkan kulit dan mengurangi hiperpigmentasi.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Propyl Gallate,-,-,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang terutama digunakan untuk menjaga kestabilan formulasi dan berpotensi menyebabkan sensitisasi pada sebagian individu.,-,-,Kemerahan,Berpotensi menimbulkan iritasi atau dermatitis kontak pada kulit sensitif.,-,Kemerahan: Low,,"Antioksidan dengan kasus alergi kontak yang terdokumentasi; risiko generalis, bukan spesifik jenis kulit."
Zingiber Officinale (Ginger) Root Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya gingerol dan antioksidan yang membantu melindungi kulit serta memiliki efek anti-inflamasi.,-,-,"Berjerawat, Kusam",Membantu mengurangi inflamasi dan melindungi kulit dari stres oksidatif.,-,-,Berjerawat: Supportive; Kusam: Supportive,-,,
Dehydroacetic Acid,-,-,"Normal, Berminyak, Kering, Kombinasi",Pengawet yang pada sebagian individu dapat menyebabkan iritasi ringan.,-,-,Kemerahan,Berpotensi memicu iritasi pada kulit sensitif.,-,Kemerahan: Low,,"Preservative dengan laporan potensi iritan/sensitisasi; risiko generalis, bukan spesifik jenis kulit."
p-Anisic Acid,"Normal, Berminyak, Kering, Kombinasi",Memiliki aktivitas antimikroba ringan dan juga berfungsi sebagai skin conditioning agent.,-,-,Berjerawat,Membantu menghambat pertumbuhan mikroorganisme pada kulit.,-,-,Berjerawat: Supportive,-,,
Phytic Acid,"Normal, Berminyak, Kering, Kombinasi",Antioksidan sekaligus chelating agent yang juga memiliki efek brightening ringan melalui penghambatan tirosinase.,-,-,"PIH, Kusam",Membantu mengurangi hiperpigmentasi dan memberikan perlindungan antioksidan.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Oryza Sativa (Rice) Bran Water,"Normal, Berminyak, Kering, Kombinasi","Kaya vitamin, mineral, dan antioksidan alami yang membantu menjaga hidrasi serta kesehatan kulit.",-,-,"Kusam, PIH","Membantu mencerahkan kulit, melindungi dari radikal bebas, dan menjaga elastisitas kulit.",-,-,Kusam: Supportive; PIH: Supportive,-,,
Methyl Gluceth-10,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kelembapan kulit dengan iritasi yang rendah.,-,-,Kusam,Membantu meningkatkan hidrasi sehingga kulit terasa lebih halus dan kenyal.,-,-,Kusam: Supportive,-,,
Polyquaternium-51,"Normal, Berminyak, Kering, Kombinasi",Polimer biomimetik yang menyerupai fosfolipid membran sel sehingga membantu mempertahankan kelembapan kulit.,-,-,Kemerahan,Membantu memperkuat skin barrier dan mengurangi kehilangan air (TEWL).,-,-,Kemerahan: Supportive,-,,
Corchorus Olitorius Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polisakarida dan antioksidan yang membantu menjaga hidrasi dan melindungi kulit.,-,-,Kemerahan,Membantu menenangkan kulit dan melindungi dari stres oksidatif.,-,-,Kemerahan: Supportive,-,,
Nelumbo Nucifera Root Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung flavonoid dan polifenol yang memberikan efek antioksidan dan soothing.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan menjaga tampilan kulit tetap sehat.,-,-,Kusam: Supportive,-,,
Hibiscus Esculentus Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung polisakarida dan antioksidan yang membantu menjaga kelembapan serta elastisitas kulit.,-,-,-,-,-,-,-,-,,
Dioscorea Japonica Root Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polisakarida yang membantu menjaga kelembapan dan menenangkan kulit.,-,-,Kemerahan,Membantu memperbaiki skin barrier dan meningkatkan hidrasi.,-,-,Kemerahan: Supportive,-,,
Angelica Keiskei Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung chalcone dan antioksidan yang membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu menjaga kesehatan kulit dan mendukung perlindungan antioksidan.,-,-,Kusam: Supportive,-,,
Hydrolyzed Rice Protein,"Normal, Berminyak, Kering, Kombinasi",Protein beras terhidrolisis yang membantu meningkatkan hidrasi dan memperbaiki kondisi permukaan kulit.,-,-,-,-,-,-,-,-,,
Oryza Sativa (Rice) Seed Protein,"Normal, Berminyak, Kering, Kombinasi",Protein dari biji beras yang membantu memperkuat skin barrier dan menjaga kelembapan kulit.,-,-,-,-,-,-,-,-,,
Defatted Rice Bran Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya γ-oryzanol, ferulic acid, dan antioksidan yang membantu melindungi serta mencerahkan kulit.",-,-,"PIH, Kusam",Membantu mengurangi hiperpigmentasi dan melindungi kulit dari radikal bebas.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Propolis Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya flavonoid dan senyawa bioaktif yang membantu melindungi serta memperbaiki kondisi kulit.,-,-,"Berjerawat, PIE, Kemerahan","Memiliki aktivitas antimikroba, anti-inflamasi, antioksidan, serta membantu mempercepat penyembuhan kulit.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Lactobacillus/Soybean Ferment Extract,"Normal, Berminyak, Kering, Kombinasi",Ferment probiotik yang membantu memperkuat skin barrier dan menjaga keseimbangan mikrobioma kulit.,-,-,Kemerahan,Membantu meningkatkan hidrasi dan memberikan efek soothing.,-,-,Kemerahan: Supportive,-,,
Lactobacillus/Punica Granatum Fruit Ferment Extract,"Normal, Berminyak, Kering, Kombinasi",Ferment delima yang kaya antioksidan dan metabolit hasil fermentasi.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan meningkatkan kesehatan kulit.,-,-,Kusam: Supportive,-,,
Saccharomyces/Barley Seed Ferment Filtrate,"Normal, Berminyak, Kering, Kombinasi","Ferment barley yang kaya asam amino, vitamin, dan antioksidan untuk menjaga skin barrier.",-,-,Kusam,Membantu meningkatkan hidrasi dan melindungi kulit dari stres oksidatif.,-,-,Kusam: Supportive,-,,
Lactobacillus/Pear Juice Ferment Filtrate,"Normal, Berminyak, Kering, Kombinasi",Ferment buah pir yang membantu meningkatkan hidrasi dan memberikan efek antioksidan.,-,-,Kusam,Membantu menjaga kelembapan dan kesehatan kulit.,-,-,Kusam: Supportive,-,,
Royal Jelly Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya protein, vitamin, dan peptida yang membantu menutrisi serta memperbaiki kondisi kulit.",-,-,Kusam,"Membantu meningkatkan elastisitas, hidrasi, dan perlindungan antioksidan.",-,-,Kusam: Supportive,-,,
Artemisia Princeps Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak mugwort yang kaya antioksidan dan memiliki efek anti-inflamasi.,-,-,"Berjerawat, PIE, Kemerahan",Membantu menenangkan kulit dan mengurangi inflamasi.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Coptis Japonica Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung berberine yang memiliki aktivitas antimikroba dan anti-inflamasi.,-,-,"Berjerawat, Kemerahan",Membantu mengurangi inflamasi dan menghambat pertumbuhan bakteri penyebab jerawat.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Malt Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan asam amino yang membantu menjaga kelembapan serta kesehatan kulit.,-,-,Kusam,Membantu melindungi kulit dari stres oksidatif dan meningkatkan hidrasi.,-,-,Kusam: Supportive,-,,
Hydrolyzed Glycosaminoglycans,"Normal, Berminyak, Kering, Kombinasi",Komponen penyusun matriks ekstraseluler yang membantu mempertahankan kelembapan dan elastisitas kulit.,-,-,Kemerahan,"Membantu meningkatkan hidrasi, memperbaiki skin barrier, dan menjaga elastisitas kulit.",-,-,Kemerahan: Supportive,-,,
Hydrolyzed Sclerotium Gum,"Normal, Berminyak, Kering, Kombinasi",Polisakarida terhidrolisis yang membantu mempertahankan kelembapan kulit dan memberikan efek skin conditioning.,-,-,Kusam,Membantu menjaga hidrasi dan kelembutan kulit.,-,-,Kusam: Supportive,-,,
Raspberry Ketone,"Normal, Berminyak, Kering, Kombinasi",Memiliki aktivitas antioksidan yang membantu melindungi kulit dari radikal bebas.,-,-,Kusam,Membantu mengurangi stres oksidatif dan menjaga kesehatan kulit.,Kemerahan,Pada sebagian individu dapat menimbulkan iritasi ringan karena merupakan komponen aromatik.,Kusam: Supportive,Kemerahan: Low,,
Heptanol,-,-,"Normal, Berminyak, Kering, Kombinasi",Fatty alcohol rantai pendek yang terutama digunakan sebagai fragrance ingredient atau solvent dan berpotensi menyebabkan iritasi pada sebagian individu.,-,-,Kemerahan,Pada kulit sensitif dapat meningkatkan risiko iritasi atau sensitisasi.,-,Kemerahan: Low,,Fatty alcohol/solven dengan data dermatologi spesifik yang sangat terbatas; ingredient jarang dibahas di literatur kosmetik konsumen.
